Department or Agency,Outlays
Dept. of Agriculture,137740057327.00
Dept. of Commerce,9429415979.00
Dept. of Defense - Military Programs,516237907560.00
Dept. of Education,70850949480.00
Dept. of Energy,24557506270.00
Dept. of Health and Human Services,994650662844.00
Dept. of Homeland Security,46371372268.00
Dept. of Housing and Urban Development,25699570046.00
Dept. of the Interior,12560014331.00
Dept. of Justice,35036725188.00
Dept. of Labor,39005732712.00
Dept. of State,27688104621.00
Dept. of Transportation,69716947330.00
Dept. of the Treasury,484034396273.00
Dept. of Veterans Affairs,159093514869.00
Environmental Protection Agency,7470440702.00
General Services Administration,-644034396.00
International Assistance Programs,14369401648.00
NASA,17156037262.00
Social Security Administration,888174489430.00
+,184759046936.00
Other Departments and Agencies,
Allowances,1679505553.00
Undistributed Offsetting Receipts,-226308670727.00
